Satellite Name,Time (UTC),Latitude,Longitude,Altitude (m)
STARLINK-1010,2026-01-03T12:48:41Z,-16.77617446648795,89.92106306940292,393443.65307451267
STARLINK-1010,2026-01-03T12:58:41Z,14.356657632128467,111.44601450737629,389715.844386423
STARLINK-1010,2026-01-03T13:08:41Z,42.26286796478998,140.68489106648778,394704.6370780195
STARLINK-1010,2026-01-03T13:18:41Z,52.78435409264819,-164.64975637954626,398121.56165441836
STARLINK-1010,2026-01-03T13:28:41Z,34.49815081871637,-118.14016071398741,394696.3848700561
STARLINK-1010,2026-01-03T13:38:41Z,4.728490070798356,-93.29881087722642,392416.1905980563
STARLINK-1010,2026-01-03T13:48:41Z,-26.004862204695442,-70.8946061180248,398764.8340502646
STARLINK-1010,2026-01-03T13:58:41Z,-49.64497623131285,-33.170730946590176,407085.25854758517
STARLINK-1010,2026-01-03T14:08:41Z,-48.431382645814935,25.13583387155605,405704.01715271553
STARLINK-1010,2026-01-03T14:18:41Z,-23.730133690394876,60.89138884681966,395660.30923719896
STARLINK-1010,2026-01-03T14:28:41Z,7.178267406458153,82.94949535317484,389596.89787247946
STARLINK-1010,2026-01-03T14:38:41Z,36.58638289276464,108.72518594338251,393248.94289420714
STARLINK-1010,2026-01-03T14:48:41Z,53.10607643390189,157.5393499763957,397981.32454513013
STARLINK-1010,2026-01-03T14:58:41Z,40.401959193122856,-149.61164684804046,395823.3186722348
STARLINK-1010,2026-01-03T15:08:41Z,11.932230944359825,-121.71107118435879,392262.26315819524
STARLINK-1010,2026-01-03T15:18:41Z,-19.137115849595578,-100.11674322876326,396661.5430921709
STARLINK-1010,2026-01-03T15:28:41Z,-45.58507349064423,-67.94100707712752,405715.7930461797
STARLINK-1010,2026-01-03T15:38:41Z,-51.58733923417754,-10.831542609852969,407122.9167257659
STARLINK-1010,2026-01-03T15:48:41Z,-30.404026166050603,31.18906703496694,398129.06601457315
STARLINK-1010,2026-01-03T15:58:41Z,-0.06809063536956286,54.628199149659025,390076.96150774934
STARLINK-1010,2026-01-03T16:08:41Z,30.30915752364972,78.06302112331264,391846.246513169
STARLINK-1010,2026-01-03T16:18:41Z,51.578044332273606,120.1342096984242,397398.0495150463
STARLINK-1010,2026-01-03T16:28:41Z,45.546401010927866,177.39107507380012,396851.444782814
STARLINK-1010,2026-01-03T16:38:41Z,19.018772376957962,-150.42236806831434,392601.2910965717
STARLINK-1010,2026-01-03T16:48:41Z,-12.060279901807414,-128.82928278325892,394855.3473178704
STARLINK-1010,2026-01-03T16:58:41Z,-40.46200652865896,-100.92917683089622,403886.7141815056
STARLINK-1010,2026-01-03T17:08:41Z,-53.10650313771229,-48.1976064923071,407911.9017809883
STARLINK-1010,2026-01-03T17:18:41Z,-36.66197767015423,0.5272044493646227,400663.2240958658
STARLINK-1010,2026-01-03T17:28:41Z,-7.312320535317853,26.306402934176607,391165.1011587306
STARLINK-1010,2026-01-03T17:38:41Z,23.618774341805103,48.36166029208708,390665.9680267946
STARLINK-1010,2026-01-03T17:48:41Z,48.40518607183592,84.13896922713637,396420.55455422495
STARLINK-1010,2026-01-03T17:58:41Z,49.62600017585219,142.6011117190954,397636.60017795104
STARLINK-1010,2026-01-03T18:08:41Z,25.90067232776416,-179.643549425192,393340.0948372495
STARLINK-1010,2026-01-03T18:18:41Z,-4.861494621323753,-157.24256928782873,393476.34471043036
STARLINK-1010,2026-01-03T18:28:41Z,-34.5784955641841,-132.3980778506158,401760.371298259
STARLINK-1010,2026-01-03T18:38:41Z,-52.78629712043085,-85.96614545136568,408017.8057364587
STARLINK-1010,2026-01-03T18:48:41Z,-42.317423198371195,-31.428789948750605,403066.78831821115
STARLINK-1010,2026-01-03T18:58:41Z,-14.484327503334397,-2.1915356166245474,392812.4688029207
STARLINK-1010,2026-01-03T19:08:41Z,16.651736896333592,19.333020206785037,389863.75683155993
STARLINK-1010,2026-01-03T19:18:41Z,43.930278574002784,49.95957409568375,395145.59171844134
STARLINK-1010,2026-01-03T19:28:41Z,52.28453368200074,106.06150101375752,398065.51241646684
STARLINK-1010,2026-01-03T19:38:41Z,32.46578388141641,150.37224399008784,394347.3324505173
STARLINK-1010,2026-01-03T19:48:41Z,2.3853809160885477,174.45946998346932,392607.73297557555
STARLINK-1010,2026-01-03T19:58:41Z,-28.164099485121326,-162.69203485904143,399520.0912530632
STARLINK-1010,2026-01-03T20:08:41Z,-50.67218310072573,-122.93560922115685,407444.95401724207
STARLINK-1010,2026-01-03T20:18:41Z,-47.11566697548003,-65.01313934901468,405152.4117478281
STARLINK-1010,2026-01-03T20:28:41Z,-21.50663507012702,-31.057213596150802,394915.96166815964
STARLINK-1010,2026-01-03T20:38:41Z,9.510552510752355,-9.260624815490997,389564.9126656907
STARLINK-1010,2026-01-03T20:48:41Z,38.49869539858867,17.504007927204533,393708.5690995681
STARLINK-1010,2026-01-03T20:58:41Z,53.20771472538111,68.38592007525367,398067.606202849
STARLINK-1010,2026-01-03T21:08:41Z,38.56299420395236,119.31892188594628,395468.2255148882
STARLINK-1010,2026-01-03T21:18:41Z,9.611615761984147,146.1030752995139,392278.57559767575
STARLINK-1010,2026-01-03T21:28:41Z,-21.385632287760824,167.86878727521224,397352.9505311393
STARLINK-1010,2026-01-03T21:38:41Z,-47.03060310995031,-158.29665607371828,406254.37946169556
STARLINK-1010,2026-01-03T21:48:41Z,-50.7310426843678,-100.413676584504,406758.26862994564
STARLINK-1010,2026-01-03T21:58:41Z,-28.284665159723698,-60.51390887903716,397327.1432430564
STARLINK-1010,2026-01-03T22:08:41Z,2.277509031025944,-37.6195082240778,389850.61560550344
STARLINK-1010,2026-01-03T22:18:41Z,32.39152005723809,-13.540085630674227,392270.40215765435
STARLINK-1010,2026-01-03T22:28:41Z,52.266123383098886,30.715319966430506,397622.45076548925
STARLINK-1010,2026-01-03T22:38:41Z,43.98339110136034,86.85051762634497,396541.2740890469
STARLINK-1010,2026-01-03T22:48:41Z,16.74544391687736,117.50937457643731,392462.23546978657
STARLINK-1010,2026-01-03T22:58:41Z,-14.365225541609753,139.01560192230252,395432.09883327264
STARLINK-1010,2026-01-03T23:08:41Z,-42.21421470497037,168.15752175631047,404557.9730169223
STARLINK-1010,2026-01-03T23:18:41Z,-52.81131311510746,-137.41226635811225,407762.57044684724
